Participant,Gender,Age,Experiment,,Legend,
1,1,21,1,,Participant:,Indicates the different participants in each experiment
2,2,19,1,,Gender:,"1 = female, 2 = male"
3,2,24,1,,Age:,in years
4,1,22,1,,Experiment:,Indicates the two different experiments
5,1,22,1,,,
6,2,26,1,,,
7,1,18,1,,,
8,1,19,1,,,
9,1,26,1,,,
10,2,21,1,,,
11,2,27,1,,,
12,1,19,1,,,
13,1,20,1,,,
14,2,23,1,,,
15,1,19,1,,,
16,2,21,1,,,
17,1,20,1,,,
18,1,20,1,,,
19,1,20,1,,,
20,1,20,1,,,
21,2,22,1,,,
22,1,23,1,,,
23,1,27,1,,,
24,2,34,1,,,
25,1,25,1,,,
26,1,24,1,,,
27,1,44,1,,,
28,1,19,1,,,
29,2,28,1,,,
30,1,20,1,,,
31,2,23,1,,,
32,1,18,1,,,
33,1,30,1,,,
34,1,18,1,,,
35,1,24,1,,,
1,1,19,2,,,
2,1,26,2,,,
3,1,18,2,,,
4,2,22,2,,,
5,1,30,2,,,
6,1,19,2,,,
7,2,23,2,,,
8,1,18,2,,,
9,1,18,2,,,
10,1,25,2,,,
11,1,23,2,,,
12,1,28,2,,,
13,1,21,2,,,
14,2,24,2,,,
15,1,26,2,,,
16,2,31,2,,,
17,1,19,2,,,
18,1,33,2,,,
19,1,20,2,,,
20,2,37,2,,,
21,1,24,2,,,
22,2,26,2,,,
23,2,33,2,,,
24,1,18,2,,,
25,1,17,2,,,
26,1,21,2,,,
27,2,21,2,,,
28,1,18,2,,,
29,1,20,2,,,
30,2,21,2,,,
31,1,52,2,,,
32,1,20,2,,,
33,1,19,2,,,
34,2,20,2,,,
35,1,20,2,,,
36,1,24,2,,,
37,1,18,2,,,
38,1,19,2,,,
39,1,21,2,,,
40,1,22,2,,,
41,2,22,2,,,
42,1,33,2,,,
43,1,18,2,,,
44,1,23,2,,,
45,1,20,2,,,
