Participant,Result,Die P1,Die P2,Die P3,Roll P1,Roll P2,Roll P3,Payoff P1,Payoff P2,Payoff P3,Resp P1,Resp P2,Resp P3,Experiment,,Legend,
1,1,1,3,3,3,5,6,9,5,5,6,9,9,1,,Participant,Indicates the different participants per experiment
1,0,3,1,1,6,1,1,-5,-1,-1,1,9,9,1,,Result,"indicates the result of the team in this round (criterion: the team wins if the sum of rolls is greater than 10); 0 = loss, 1 = win "
1,1,3,3,3,5,5,6,5,5,5,7,7,7,1,,Die P1-P3,"indicates the choice of die for each player (1 = bad/cheap die, 2 = neutral die, 3 = good/expensive die)"
1,1,2,2,2,6,5,3,7,7,7,5,5,4,1,,Roll P1-P3,indicates what numbers the players rolled with their dice (from 1 (lowest) to 6 (highest) )
1,0,2,1,3,1,2,5,-3,-1,-5,10,8,6,1,,Payoff P1-P3,Money that each player earned/lost in this round (depends on what die the player chose and whether the team won or lost)
1,0,2,3,1,4,5,1,-3,-5,-1,9,3,10,1,,Resp P1-P3,"Responsibility rating for each player; participants attributed blame for losses (0 = no blame 10 = high blame) and credit for wins (0 = no credit, 10 = high credit) "
1,1,3,1,2,6,5,4,5,9,7,10,1,4,1,,Experiment,Indicates the two different experiments
1,1,3,3,1,3,5,4,5,5,9,9,9,7,1,,,
1,1,1,3,3,3,5,5,9,5,5,5,10,10,1,,"Note that in Experiment 1, phase 2 was missing (i.e. there are only 20 rounds per participants in experiment 1 but in experiment 2 there are 34 rounds per participant)",
1,0,2,1,2,1,1,2,-3,-1,-3,6,10,6,1,,,
1,1,2,3,2,6,4,2,7,5,7,6,6,4,1,,,
1,1,3,2,3,4,1,6,5,7,5,7,6,9,1,,,
1,1,3,1,2,5,2,4,5,9,7,8,8,6,1,,,
1,1,1,3,2,3,5,4,9,5,7,6,6,5,1,,,
1,0,3,1,3,5,1,3,-5,-1,-5,7,10,6,1,,,
1,1,1,3,3,2,5,6,9,5,5,2,7,10,1,,,
1,1,2,2,2,3,5,3,7,7,7,5,6,5,1,,,
1,0,2,1,1,4,2,1,-3,-1,-1,6,10,10,1,,,
1,1,3,1,3,4,2,6,5,9,5,7,1,10,1,,,
1,1,2,2,1,6,4,3,7,7,9,7,5,1,1,,,
2,1,3,1,3,6,2,5,5,9,5,7,1,7,1,,,
2,1,1,3,2,1,5,6,9,5,7,0,8,5,1,,,
2,0,1,1,2,1,1,6,-1,-1,-3,10,10,4,1,,,
2,0,2,3,1,3,6,1,-3,-5,-1,5,0,10,1,,,
2,1,3,2,3,4,6,6,5,7,5,8,5,8,1,,,
